0x0000002,0CC2FF3A
0x000000E,02DA
0x0000018,06B50C9EE734
0x0000022,27F9092E0686B005FC43F423E636
0x0000034,282FF5C6FA42B1A4
0x000003E,0B69
0x0000042,00A1
0x0000045,D758A2
0x000004A,0000
0x000004D,BE
0x0000054,157F0890534B
0x000005E,F420F2F8E9EDCEE6DEC8FD066A1B
0x0000070,E986FD09168BC08D
0x0000079,006A68FD26
0x0000085,17
0x0000088,0CC5FF44
0x0000092,C00002DA
0x000009E,06C10C9DE77C
0x00000A8,27CA09360683AFF5FC39F429E67C
0x00000BA,2808F5C3FA44B18D41170B22
0x00000C7,05008100E0
0x00000CD,BD
0x00000D0,0000
0x00000D3,BE
0x00000DA,158A08BC52EB
0x00000E4,F34FF36EEB2BCEF3DEB8FE366907
0x00000F6,EA0EFD0D1676C053
0x00000FF,006A68FD26
0x000010B,17
0x000010D,C90CD4FF58
0x0000118,C00002DA
0x0000124,06F00C88E857
0x000012E,26DA0938067EAFF4FC0CF443E750
0x0000140,272AF5C6FA4BB19142660A3F
0x000014D,120051021858D2
0x0000156,0000
0x0000159,BE
0x0000160,15A7092A52B5
0x000016A,F273F393ECCCCFECDEAFFF796801
0x000017C,EAA0FD12165FC014
0x0000185,006A68
0x0000189,26
0x0000191,17
0x0000193,CB0CEBFF74
0x000019E,C00002DA
0x00001AA,073D0C61E9A9
0x00001B4,254609340675B000FBC4F46FE89A
0x00001C6,25B1F5D0FA57B1AD43DF08E9
0x00001D3,22001603775877
0x00001DC,0000
0x00001DF,BE
0x00001E6,15CC09B952A0
0x00001F0,F18EF37FEEABD181DEA900CF6708
0x0000202,EB3AFD191646BFCF
0x000020B,006A68
0x000020F,26
0x0000217,17
0x0000219,CD0D09FF95
0x0000224,C00002DA
0x0000230,07A10C28EB5A
0x000023A,2328092B066BB018FB68F4A8EA41
0x000024C,23B2F5E0FA66B1DE45750745
0x0000259,32FFD904F3
0x000025F,DF
0x0000262,0000
0x0000265,BE
0x000026C,15F10A4852A6
0x0000276,F09FF34DF0A2D360DEA702356619
0x0000288,EBDDFD21162CBF85
0x0000291,006A68
0x0000295,26
0x000029D,17
0x000029F,CF0D2AFFBA
0x00002AA,C00002DA
0x00002B6,08150BDBED50
0x00002C0,2096
0x00002C3,1E065EB03CFAFEF4ECEC2C
0x00002D2,2143F5F4FA79B221471B057A
0x00002DF,3EFFA00684
0x00002E5,24
0x00002E8,00004DBE
0x00002F2,160E0AB652BE
0x00002FC,EFAAF317F28BD538DEA603A96530
0x000030E,EC85FD2B1611BF35
0x0000317,006A68
0x000031B,26
0x0000323,17
0x0000325,CF0D4CFFE1
0x0000330,C00002DA
0x000033C,08930B7DEF72
0x0000346,1DB0
0x0000349,0D0650B06BFA8FF535EE44
0x0000358,1E7DF60CFA8FB27348C703B0
0x0000365,42FF74081F
0x000036B,56
0x000036E,00004DBE
0x0000378,16190AE252E3
0x0000382,EEAEF2F6F442D6B7DEA5052A644A
